processed_tweet,username
 let go of neg thought seem like a fulltim job,sosadtoday
 i want a warm chocol chip cooki to go down on me,sosadtoday
 my face is annoy,sosadtoday
 she die as she live … wonder whether she wa tire or die,sosadtoday
 i realli should,sosadtoday
 so much stuff is a piec of shit,sosadtoday
 horoscop fuck,sosadtoday
 my first reaction to anyth is oh no,sosadtoday
 its embarrass that i still exist,sosadtoday
 tuesday i will be read poem talk abt poetic shit onlin regist here,sosadtoday
 ceo of obsess thought,sosadtoday
 ah what is thi oh ye a mistak i have not learn from,sosadtoday
 tire but also tire,sosadtoday
 im annoy about more annoy stuff than you,sosadtoday
 tonight in lo angel irl ,sosadtoday
 hello it is i my own worst enemi,sosadtoday
 for year ive been obsess about dudu one of the protagonist ofs leav societi,sosadtoday
 in interview magazin talk aboutprocess ,sosadtoday
 milk fed is out in paperback today,sosadtoday
 fuck the mean of life,sosadtoday
 gear up for a big relaunch of my psych,sosadtoday
 when someon askhow are you ,sosadtoday
 felt good for a second but then it went away,sosadtoday
 ever just feel paranoid for your entir life,sosadtoday
 have thehard conversbut with myself,sosadtoday
 can you tell that im scare you hate me,sosadtoday
 im more than will to be neurot and paranoid,sosadtoday
 peopl like to feel a part of someth stupid,sosadtoday
 so beauti,sosadtoday
 i dont ask for help becaus then i have to deal with peopl,sosadtoday
 its like i hate myself but i cant get enough,sosadtoday
 whi becaus i have no selfesteem,sosadtoday
 the miracl of life is annoy,sosadtoday
 small talk is alway the worst thing that ever happen to me,sosadtoday
 im do well except for everyth i dont wanna talk about becaus im in denial,sosadtoday
 be obsess with you ha been a real pleasur,sosadtoday
 my heart desir are like bad for me,sosadtoday
 cant tell if thi is depress or emot progress,sosadtoday
 we get the mystic origin we think we deserv,sosadtoday
 i dont love my bodi,sosadtoday
 i dont know how to live in the world,sosadtoday
 peopl are alway likeits go to be okwhen they have no idea,sosadtoday
 i love it when i didnt know you,sosadtoday
 its alway nice to spend an even in hell,sosadtoday
 listen its not my fault i dont love myself,sosadtoday
 help i cant stop think,sosadtoday
 lets just pretend i can control the uncontrol,sosadtoday
 me and the amaz katherin are go to talk about the frasier final and i will read poem thank you,sosadtoday
 milk fed now in paperback august ,sosadtoday
 i dont understand how peopl just like do stuff,sosadtoday
 i regret to inform you that i am awak,sosadtoday
 i wa born not readi,sosadtoday
 what do you mean you dont think its weird were aliv,sosadtoday
 on augustyou too can be like darci and put my vomit in your pantri for sign vomit preorder here,sosadtoday
 here let me just rip my heart out and give it to you,sosadtoday
 i dont care what anyon think about me except i total do,sosadtoday
 one time i wa chill and it veri badli,sosadtoday
 ive never relax,sosadtoday
 i dont care if its a healthi feel or an unhealthi feel i just dont want it,sosadtoday
 your perform of pretend to care is spectacular,sosadtoday
 wa awak for an hour so its time to go back to sleep,sosadtoday
 im like a spong that doesnt know how to absorb anyth good,sosadtoday
im over iti said becaus i would clearli never be over it,sosadtoday
 i dont want to know how i feel,sosadtoday
 i mean im never not go through a difficult time,sosadtoday
 i love set boundari and then be annoy by them,sosadtoday
 no i dont rememb how to dress myself,sosadtoday
 insecur is forev,sosadtoday
 no of cours i didnt tell you my feel were hurt,sosadtoday
 i hate that we had a connect,sosadtoday
 and its backmeme by,sosadtoday
 i have a headach probabl becaus i exist,sosadtoday
 go back to bed forev,sosadtoday
 probabl cri,sosadtoday
 i know feel cant kill you but like i kind of feel like they can,sosadtoday
 what if i never stop griev and then i die and still have to keep griev,sosadtoday
 i am call on my feel to pleas stop,sosadtoday
 it alway the anniversari of some dumb shit ive done,sosadtoday
 i like the denial stage better than whatev thi one is,sosadtoday
 whi am i not excit about my inner beauti,sosadtoday
 youre damn right i never leav my comfort zone,sosadtoday
 thank but ill be my own worst enemi,sosadtoday
 bring your own serotonin,sosadtoday
 said someth nice to myself but then wa like your wrong,sosadtoday
 is it cool if i channel my anxieti into be obsess with you,sosadtoday
 what the fuck is everyth,sosadtoday
 i dont realli see the point of me,sosadtoday
 take shit person so i can feel like i matter,sosadtoday
 think about skincar and death,sosadtoday
 the seven stage of get out of bed,sosadtoday
 rejoin societi honey i never join,sosadtoday
 no human interact thank,sosadtoday
augcometh superdooman antholog of my poemft the good shit from myout of print cult book — mother meat heart scarecron — last sext new intro by meget a sign copi,sosadtoday
 forgav myself but then forgot,sosadtoday
 whats wrong with me the music,sosadtoday
 univers of avoid feel,sosadtoday
 i mean fuck everyth kind of,sosadtoday
 well today is alreadi destroy so might as well fuck it up some more,sosadtoday
 to do denial anger bargain depress someth,sosadtoday
 watch myself get more insecur in slow motion,sosadtoday
 when peopl talk about selflov i feel like theyre joke,sosadtoday
 someon sent melove and lightbut i never got the packag,sosadtoday
 i love get attent and pretend i dont care about get attent,sosadtoday
 awww look at these cute red flag,sosadtoday
 sorri i cant im contempl my cosmic alon,sosadtoday
 my podcast will be back as soon as i am abl to toler the sound of my own voic again,sosadtoday
 remind that afterminut i alway want to leav,sosadtoday
 i never did trust hope,sosadtoday
 say no to everyth,sosadtoday
 im a silenc addict i need more and more silenc just to maintain,sosadtoday
 tri to figur out what to regret,sosadtoday
 i dont have selfesteem but i do have an ego,sosadtoday
 what doestay strongmean and do i have to,sosadtoday
 do i support the polit and valu of peopl im follow honey i dont even know who the fuck im follow,sosadtoday
 whats the point yo,sosadtoday
 anxieti or it didnt happen,sosadtoday
dont be paranoid nah ill be paranoid ,sosadtoday
 when peopl are nice to me i panic,sosadtoday
 im not brave im just impuls,sosadtoday
 am i go to get in troubl for be me,sosadtoday
 im be true to myself by sleep all the time,sosadtoday
 im veri no,sosadtoday
 feel slightli off so obvious die,sosadtoday
 power by insecur,sosadtoday
 come hang out with my anxieti,sosadtoday
 when i hear peopl talk i honestli feel like im from anoth planet,sosadtoday
 let feel bad for each other,sosadtoday
 if i were a tree i feel like it wouldnt be that cool of a tree,sosadtoday
 im fine to be around peopl for five minut or less,sosadtoday
 thi is a long apocalyps,sosadtoday
 my version of impuls control is just regret,sosadtoday
 univers of existenti alon,sosadtoday
 i dont trust life,sosadtoday
 q is everyth get shittier a ye,sosadtoday
 no i cant just face realiti,sosadtoday
 sorri but i hate everyth more than you do,sosadtoday
 bad decis are so excit,sosadtoday
 not sure how to exist,sosadtoday
 i give great advic to everyon except me,sosadtoday
 we should lose hope togeth,sosadtoday
 when you realiz the person you were obsess with is just a person it sad,sosadtoday
 no of cours i dont know what i want,sosadtoday
 it feel good to know you suck now,sosadtoday
 i never know what im feel becaus i dont want to,sosadtoday
 spoiler existenti crisi,sosadtoday
 high on regret,sosadtoday
 no im not go to feel my feel,sosadtoday
 forgot that life is pain and then rememb again,sosadtoday
 will reveal my need make me unlov stay tune for the thrill conclus,sosadtoday
 i feel confus but too tire to grappl with the confus which is in a strang way a relief,sosadtoday
 we love you gian ,sosadtoday
 oh look its a hell of my own make,sosadtoday
 no i dont know what the fuck is go on what do i look like someon who know what the fuck is go on,sosadtoday
 im cool when im alon,sosadtoday
 whisper dure sex doe my stupid life look ok onlin,sosadtoday
 i like it when i didnt know you exist,sosadtoday
 i love when im not awak,sosadtoday
 be aliv seem weird,sosadtoday
 i can onli do like half a thing per day,sosadtoday
 mayb im not suppos to be ok,sosadtoday
 by relax i mean anxiou,sosadtoday
 i fear miss out and be includ,sosadtoday
 insecur is forev,sosadtoday
 sorri i cant im compar myself to stranger on the internet,sosadtoday
 whi ye ye i do hate everyth thank you for ask,sosadtoday
 when someth appear good its usual bad,sosadtoday
 the best advic i can give you is dont listen to me,sosadtoday
 let roleplay you not be an asshol,sosadtoday
 three year ago my friend came over and ate a banana at my hous and we start write a thing and it becam a thing,sosadtoday
 if you need me ill be worri about shit beyond my control,sosadtoday
 may i interest you in my passiv aggress attempt to be sort of okay,sosadtoday
 come soon disappoint,sosadtoday
 hello human my book is on sale,sosadtoday
 ill give me someth to cri about,sosadtoday
 the futur is annoy,sosadtoday
 i would consid get out of bed if the world wa anoth bed,sosadtoday
 i would like to be more attract,sosadtoday
 other peopl make me feel the veri loneliest,sosadtoday
 are we dead,sosadtoday
 when someon flirt with me im like dont distract me from the existenti truth of my mortal alon unless youre readi to expand into the size and shape of the void and stay there,sosadtoday
 i like to greet the new day by go back to bed,sosadtoday
 thi book good,sosadtoday
 everyon like it so i know it bad,sosadtoday
 listen ive had enough opportun to grow,sosadtoday
 my selfdoubt is beauti,sosadtoday
 i fear the unknown and the known,sosadtoday
 spoiler natur hate us,sosadtoday
 proud support of the i didnt ask to be born defens,sosadtoday
 it all good me lie,sosadtoday
 i reject me befor you did,sosadtoday
 when im eat in a bathroom that the real me,sosadtoday
 oh god the fuck futur,sosadtoday
 sometim i rememb i exist and im just like oh no,sosadtoday
 lets softli destroy my life,sosadtoday
 i invent frozen yogurt,sosadtoday
 am i actual suppos to like live my life,sosadtoday
 when someth good is about to happen i feel like it alreadi over,sosadtoday
 i pretend to be strong so peopl will leav me alon,sosadtoday
 can alreadi tell that my fate is go to be annoy,sosadtoday
 when im alon im almost okay,sosadtoday
 hous of the rise anxieti,sosadtoday
 someon ask me how i wa do and i told them and it wa way too much,sosadtoday
 i hate when the thing i need to do to stay aliv interfer with my dissoci,sosadtoday
 let me know what i can do to make you like me,sosadtoday
 here i made you thi mistak,sosadtoday
 had a nightmar that i had to talk to peopl,sosadtoday
 imagin think you are right about anyth,sosadtoday
 what thi oh just my core underli issu,sosadtoday
 have fun feel your feel ill be over here avoid mine,sosadtoday
 be aliv feel like a problem,sosadtoday
 i mean i wouldnt hang out with me,sosadtoday
 i rectifi thi with my ouvr,sosadtoday
 everyth annoy,sosadtoday
 teach me how to leav the hous,sosadtoday
 i prefer to not do anyth about my problem but still worri about them,sosadtoday
 marri to the game and the game is wear the same cloth for five day,sosadtoday
 lets ignor everyth,sosadtoday
 what do you mean dont vent about the person who broke your heart to the person who broke your heart,sosadtoday
 the best year of my life werent that great,sosadtoday
 my mom hi me i wa born nonconsensu,sosadtoday
 i dont like anyon or me,sosadtoday
 too tire tolearn to love myself ,sosadtoday
 i keep make littl nois like grnnghgh just to make sure im still aliv,sosadtoday
 if its bad i assum its about me,sosadtoday
 heal loneli with isol,sosadtoday
 i keep mean to be a differ person,sosadtoday
 stay strong seem fake and unnecessari,sosadtoday
 i fuck love cri i just forget that i love it,sosadtoday
 want to see a video of my father okay,sosadtoday
 what doe stay strong even mean,sosadtoday
 im tire of keep it togeth and im not even keep it togeth,sosadtoday
 whatev im do im actual cri,sosadtoday
 dont forget to take your antidepress,sosadtoday
 buy my book fuckhead,sosadtoday
 think about death and my hair at the same damn time,sosadtoday
 a corpor is tri to give me a lectur about empathi,sosadtoday
 selfquarantin ever,sosadtoday
 forget to drink water for a year,sosadtoday
 im not moistur hydrat or fill with selflov and it fine,sosadtoday
 imagin if thi becam one of thoseposit affirmaccount lolol,sosadtoday
 ok thats enough today for me go back to bed,sosadtoday
 made the mistak of wake up,sosadtoday
 can we have a zoom meet about whi you reject me,sosadtoday
 sometim im like mayb i dont have depress anymor and then i do,sosadtoday
 guilti,sosadtoday
 oh look its a loss of interest in thing i onc enjoy,sosadtoday
 im basic just a nap wait to happen,sosadtoday
are you subtweet me i dont know am i ,sosadtoday
 tonight will be good febo rule,sosadtoday
 im still afraid of my own feel the music,sosadtoday
 thestage of grief,sosadtoday
 its not that i want to be anoth person i dont want to be ani person,sosadtoday
 have i found selfaccept no do i reluctantli toler myself also no,sosadtoday
to whom it may concern me wednesday ,sosadtoday
 i have not found inner peac,sosadtoday
 block my thought and feel,sosadtoday
 may the miracl of passov shine in your heart forev,sosadtoday
oh hell nome everi fuck second,sosadtoday
 no i cant just get out of bed,sosadtoday
 fear of the futur is my natur rest state,sosadtoday
 these book are good,sosadtoday
 i did klezmeradjac baybee,sosadtoday
 stay awak is a problem,sosadtoday
 i feel like im over everyth but not enough to avoid disappoint,sosadtoday
 first day of period no tampon in no underwear on too lazi to get up and rectifi the situat like the punk i fuck am,sosadtoday
 the lost art of shut the fuck up,sosadtoday
 spoiler still not enough,sosadtoday
 im awar of what im do but not enough to stop,sosadtoday
 im read tonight,sosadtoday
 for the love of god can someon just get me out of my bodi,sosadtoday
 feel anxiou about my face,sosadtoday
 honey im my own hater,sosadtoday
 one thing im into is a peac death,sosadtoday
 some of you were love uncondit by your mother and it show,sosadtoday
 my avoid attach style say hi,sosadtoday
 whats the differ between my two twitter on here i spell itcumon i spell itcome ,sosadtoday
 im either total silent or total overshar,sosadtoday
 one thing i dont like is the way thing are,sosadtoday
 my face realli get on my nerv,sosadtoday
 hey sorri to bother you but can you quickli valid my exist,sosadtoday
 if you cant handl me at my insomnia then you dont deserv me at my sleep all day,sosadtoday
 sometim i think my selfesteem is get better and then its like,sosadtoday
 whi cant i be your crush,sosadtoday
 whisper dure sex do you think im enough,sosadtoday
 my version of integr,sosadtoday
 live in fear is my thing,sosadtoday
 sad tonight,sosadtoday
 i just want to sit quietli with my father,sosadtoday
 i wish i wa a bagel with cream chees,sosadtoday
 forgav myself but then punish myself for someth els,sosadtoday
 when be awak isnt work,sosadtoday
 donat my tweet to scienc,sosadtoday
 tri do posit affirm and wa likebut what if im wrong ,sosadtoday
 i feel overwhelm and im not do shit,sosadtoday
 still confus by thi just gonna chill till someon tell me what to do or i turnalso dont understand what an nft is,sosadtoday
 pleas keep societi away from me thx,sosadtoday
 im in moder emot pain,sosadtoday
 i love blame myself for shit that doesnt involv me,sosadtoday
 i cant wait to tell you about my suffer,sosadtoday
 director of leav me alon,sosadtoday
 my bodi disappoint me more with each pass day,sosadtoday
 im not the onli one who struggl but im the onli one i spend time with,sosadtoday
 i am awak and readi to be mediocr,sosadtoday
 i miss my home planet and have no idea what it is,sosadtoday
 if you cant handl me at my constant state of exhaust then you dont deserv me at my caffein burst of anxiou intens,sosadtoday
 what day is it,sosadtoday
 noth good happen out of bed,sosadtoday
 am i readi to becom a better me not realli,sosadtoday
 im not that good at be a person,sosadtoday
 i cant im selfsabotag,sosadtoday
 my daili affirmuh ohoh nooh shitoh fuckfuck nohell nooh hell nonooofuckfuuuckno,sosadtoday
 im alway kind of simultan annoy and turn on,sosadtoday
 im a loser and its fine,sosadtoday
 oh great anoth day,sosadtoday
 i think ill spend the day imagin the worst,sosadtoday
 spent five hour on pornhub when i meant to jerk off quickli and go to bed the music,sosadtoday
 what my brain taught me about selftortur,sosadtoday
 what a bag of dorito taught me about the seven stage of grief,sosadtoday
 i have a lot of feel none of them good,sosadtoday
 today wa not what youd calla good day ,sosadtoday
 it me,sosadtoday
 i like pic where you cant see my bodi or face,sosadtoday
 brb figur out how to live,sosadtoday
 i like to pretend that if i dont want to have a feel i can just not have it,sosadtoday
 my book rec,sosadtoday
 no i cant justaccept myself as i am ,sosadtoday
 the best is when everyon shut up,sosadtoday
 i alway assum im total fuck just to be safe,sosadtoday
 look in mirror i dont trust you,sosadtoday
 no matter what im do theres a littl voic in my head whisperwhats the point ,sosadtoday
 today is the first day of the rest of my nap,sosadtoday
 want to text someonhi wa just think about your dickbut thats how everi great tragedi begin,sosadtoday
 how do u get vaccin feel confus can someon wake me up when its my turn thx,sosadtoday
 too tire to figur shit out,sosadtoday
 so to make a long stori realli fuck long,sosadtoday
 masturb to a soft pretzel,sosadtoday
milk fed by melissa broder,sosadtoday
 my power sourc is the fear of not be enough,sosadtoday
 im bad at realiti,sosadtoday
 how do you be nice to yourself without think it a lie,sosadtoday
 im alway stare at peopl becaus im just like shock theyre fine with be aliv,sosadtoday
 alway look for evid that i suck,sosadtoday
 hi im the longterm effect of low selfesteem,sosadtoday
 its hard to reach out and tell peopl what im go through becaus then i have to talk to them,sosadtoday
 talk to my dear friend brad listi about a bunch of shit i forget what we talk about,sosadtoday
 horoscop a lot of stuff hurt,sosadtoday
 time not spent nap is a wast,sosadtoday
 judg other is your drug,sosadtoday
tonightmepm pt ,sosadtoday
 i wonder if peopl hate me more or less than i think they do,sosadtoday
 ignor at first sight,sosadtoday
